SPECIES,PLA2,SVSP,SVMP,3FT,LAAO,CRiSP,CTL/SNACLEC,DIS,NP,KUN,VEGF,CYS,DEF,MPi
Bothriechis aurifer,0,7.3,35.1,0,9.5,10.7,16.4,1.4,13.4,0,0,0,0,3.2
Bothropoides diporus,24.1,7.2,34.2,0,7.4,0,2.9,1.4,15.9,0,0,0,0,2.6
M. corallinus,11.9,0.8,2.9,81.7,2.3,0,0,0,0,0,0,0,0,0
B. bicolor,35.2,19.1,8.5,0,10.8,1,4.4,7.6,3.6,0,0,0,0,4.6
C. d. terrificus,48.5,25.3,3.9,0,0,0,0,0,0,0,0,0,0,0
R. cotiara,0.6,13,51,0,19.6,2.9,4.7,0,0,0,0,0,0,0
G. intermedius,9.9,36.2,2.6,0,13.1,6.2,0.8,0,25.3,0,0,0,0,0
C. horridus,22.8,58.2,0.1,0,1.1,0.8,0.22,0,0,0,0,0,0.2,0
B. thalassinus,0,12.1,39.6,0,4.3,5.1,11.5,2,10.6,0,0,0,0,9.9
E. coloratus,5.7,3.58,61.41,0,3.91,5.69,9.45,5.8,0,0,0.32,0,0,0
Protobothrops elegans,77.1,10.4,8,0,0.5,0.1,0.2,0,0,0,0,0,0,0
B. colombiensis,44.3,1,42.1,0,5.7,0.1,0,5.6,0.8,0,0,0,0,0
R. fonescai,30.1,4.1,42.5,0,1.9,2.4,9.8,4.4,0,0,0,0,0,0
Micrurus alleni,10.9,0,1.2,77.3,3,0,0,0,0,0,0,0,0,0
C. tzabacan,11.1,5.4,18.5,0,0.5,0,35.2,0,4.2,0,0,0,23.5,0
V. renardii,44,8,12,0,4,8,3,13,0,0.8,3,0,0,0
L. muta muta,8.7,31.2,31.9,0,2.7,1.8,7.9,0,14.7,0,0,0,0,0
S. miliarius,32.5,17.1,36.1,0,2.1,2.9,0,7.7,0,0,0,0,0,0
E. pyramidium leakeyi,21.57,1.42,48.94,0,2.83,0,24.26,0,0,0,0.28,0,0,0
B. insularis,10,12.5,30,0,1.3,1.3,31.3,0,11.3,0,0,0,0,0
B. marchi,14.3,10.1,34.2,0,1.1,2.8,4.2,6.5,10.6,0,0,0,0,8.5
Ovophis okinavensis,0.65,93.1,4.2,0,0.62,0,0.47,0,0,0,0,0,0,0
Toxicocalamus longissimus,6.5,0,1.4,92.1,0,0,0,0,0,0,0,0,0,0
M. mosquitensis,55.6,0.5,2.6,22.5,2.8,0,0,0,0,9.8,0,0,0,0
Rhinocerophis alternatus,2,5.8,52.2,0,14.9,2.5,14.8,0,0,0,0,0,0,0
V. raddei,23.8,8.4,31.6,0,0.2,7.4,9.6,9.7,6,0.9,2.4,0,0,0
N. katiensis,29,0,3.3,67.1,0,0.2,0,0,0,0,0,0,0,0
V. orlovi,24,24,15,0,5,12,11,0.56,0,0.15,4,0,0,0
M. tschudii,4.1,0,0,95.2,0.7,0,0,0,0,1.6,0,0,0,0
M. multifasciatus,8.2,0,3.6,83,3.2,0,0,0,0,1.9,0,0,0,0
Atropoides nummifer,36.5,22,18.2,0,9.1,1.9,1.3,2.5,8.6,0,0,0,0,0
B. ayerbi,0.7,9.3,53.7,0,3.3,1.1,10.1,2.3,8.3,0,0,0,0,0
Drysdalia coronoides,0,0,0,86.4,0,2.8,0,0,0,9.2,0,0,0,0
B. supraciliaris,13.4,15.2,6.8,0,5.9,4.3,0,1.6,21.9,0,0,0,0,0
V. berus,10,31,19,0,2,8,2,1,11,0,0,0,0,0
